location,way_points,waypoints_location,waypoints_instruction
89,0,"[-94.791211, 29.309857]",Drive northeast on Wharf Road.
89,1,"[-94.788698, 29.310679]",Bear left onto 17th Street.
89,2,"[-94.787834, 29.309851]",Turn right onto Harborside Drive/TX 275.
89,3,"[-94.791267, 29.308944]",Turn left onto 20th Street.
89,4,"[-94.791065, 29.308355]",Your destination is on the left.
90,0,"[-94.791065, 29.308355]",Drive south on 20th Street.
90,1,"[-94.791004, 29.308077]",Turn left onto The Strand.
90,2,"[-94.790642, 29.308166]",Turn right.
90,3,"[-94.790597, 29.308025]",Your destination is on the right.
91,0,"[-94.790597, 29.308025]",Drive south.
91,1,"[-94.79082, 29.307753]",Turn right onto 20th Street.
91,2,"[-94.791004, 29.308077]",Make a sharp left to stay on 20th Street.
91,3,"[-94.790958, 29.307582]",Turn right.
91,4,"[-94.79154, 29.307427]",Your destination is on the right.
92,0,"[-94.79154, 29.307427]",Drive west.
92,1,"[-94.792735, 29.307113]",Your destination is on the right.
93,0,"[-94.792735, 29.307113]",Drive west.
93,1,"[-94.793098, 29.307017]",Turn right onto Kempner Avenue - 22nd Street.
93,2,"[-94.793406, 29.307917]",Turn right.
93,3,"[-94.792674, 29.308111]",Your destination is on the right.
94,0,"[-94.792674, 29.308111]",Drive east.
94,1,"[-94.792264, 29.30822]",Turn left onto Moody Avenue - 21st Street.
94,2,"[-94.792587, 29.30917]",Turn left.
94,3,"[-94.792746, 29.309131]",Your destination is on the right.
96,0,"[-94.793561, 29.308797]",Drive west.
96,1,"[-94.794215, 29.308743]",Keep left at the fork.
96,2,"[-94.794817, 29.308439]",Turn left onto Tremont Avenue - 23rd Street.
96,3,"[-94.794537, 29.307622]",Turn right.
96,4,"[-94.794756, 29.307567]",Your destination is on the right.
97,0,"[-94.794756, 29.307567]",Drive west.
97,1,"[-94.795326, 29.307553]",Turn right.
97,2,"[-94.795771, 29.307577]",Turn right onto Mitchell Avenue - 24th Street.
97,3,"[-94.795831, 29.307756]",Turn right onto Harborside Drive/TX 275.
97,4,"[-94.794678, 29.308045]",Turn right onto Tremont Avenue - 23rd Street.
97,5,"[-94.794386, 29.30717]",Turn left onto The Strand.
97,6,"[-94.794237, 29.307209]",Your destination is on the right.
98,0,"[-94.794237, 29.307209]",Drive east on The Strand.
98,1,"[-94.793985, 29.307275]",Turn left.
98,2,"[-94.794145, 29.307724]",Turn left.
98,3,"[-94.794537, 29.307622]",Turn left onto Tremont Avenue - 23rd Street.
98,4,"[-94.794386, 29.30717]",Turn right onto The Strand.
